step,policy_step,time,cmd_vx,cmd_vy,cmd_yaw,base_vx,base_vy,base_yaw_rate,root_z,left_pitch_pos,left_pitch_vel,left_pitch_target,left_pitch_target_vel,left_pitch_error,left_pitch_tau,left_roll_pos,left_roll_vel,left_roll_target,left_roll_target_vel,left_roll_error,left_roll_tau,right_pitch_pos,right_pitch_vel,right_pitch_target,right_pitch_target_vel,right_pitch_error,right_pitch_tau,right_roll_pos,right_roll_vel,right_roll_target,right_roll_target_vel,right_roll_error,right_roll_tau,left_upper_pos,left_upper_vel,left_upper_target,left_upper_target_vel,left_upper_error,left_upper_tau,left_lower_pos,left_lower_vel,left_lower_target,left_lower_target_vel,left_lower_error,left_lower_tau,right_upper_pos,right_upper_vel,right_upper_target,right_upper_target_vel,right_upper_error,right_upper_tau,right_lower_pos,right_lower_vel,right_lower_target,right_lower_target_vel,right_lower_error,right_lower_tau,left_tau_equiv_residual,right_tau_equiv_residual,left_jacobian_cond,right_jacobian_cond,contact_count,source
0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6657550641832926,-0.15,0.0,-0.48007395267486574,-16.503697633743286,-0.3300739526748657,0.0,-0.0,0.0,0.31581148505210876,15.790574252605438,0.31581148505210876,0.0,-0.15,0.0,-0.5940090358257294,-22.20045179128647,-0.44400903582572937,0.0,-0.0,0.0,-0.4514261484146118,-22.57130742073059,-0.4514261484146118,0.0,0.16134112163926642,0.0,0.8946703670993233,36.66646227300285,0.733329245460057,-0.0,0.16227346654995223,0.0,0.3176086213087442,7.766757737939598,0.15533515475879195,-0.0,0.16134112163926642,0.0,1.3585341963496973,59.85965373552155,1.197193074710431,-0.0,0.16227346654995223,0.0,0.37756239823078636,10.764446584041707,0.21528893168083413,0.0,0.0,0.0,1.3645791883075877,1.3645791883075877,0,policy_pr_real_ankle_equivalent_ul
4,1,0.02,0.5,0.0,0.0,0.03313340185164583,-0.012311110152211717,-0.19664392580877738,0.6632885291414232,-0.15703620628401027,-0.5631765426883504,-0.8334855079650879,-17.67057776451111,-0.6764493016810776,-0.0032115163414179193,0.004916872058157581,0.17100994590248467,0.5868372917175293,13.551290333271027,0.5819204196593717,0.03798809190544561,-0.15893507201312365,-0.6532354162208466,-0.985651695728302,-19.58213299512863,-0.8267166237151784,-0.05633016567853,-0.007368746037940186,-0.3072604583346854,-0.6,-7.428692579269408,-0.5926312539620598,-0.045935500936214346,0.173499181398607,0.6079029879670295,1.6553435415042377,38.03365872024572,1.4818443601056306,0.024117040962301335,0.1662198704550127,0.1973201952530243,0.7094567159821651,19.592404733671046,0.5432368455271523,-0.021288415666440276,0.17772848715442105,0.8193682757577314,1.6557261645607446,14.859598410552366,1.4779976774063235,0.051995251372104874,0.1663485535744757,0.20375435122617358,1.0925798980187307,35.75087498939722,0.9262313444442549,-0.002939575688264091,6.938893903907228e-18,0.0,1.3712011513673887,1.3729916081363585,2,policy_pr_real_ankle_equivalent_ul
8,2,0.04,0.5,0.0,0.0,0.03157766573248159,-0.01340943943592819,-0.020830753182895057,0.65821424521837,-0.1776741472554708,-0.8966888963998522,-1.1730307579040526,-16.977262496948235,-0.9953566106485818,1.9455530323234553,-0.0030197295526138194,-1.3482588992864528,0.6,0.658135414123534,0.6030197295526138,6.579200827724647,-0.18547336826808625,-1.343210589572146,-1.3194862842559814,-16.691729426383965,-1.134012915987895,3.6919889301894955,-0.007927022173932161,0.6212840275413244,-0.6,0.0,-0.5920729778260678,-2.0646177475490215,0.19069657783119245,0.8598698216292722,1.6580951212084611,0.13757898521117307,1.4673985433772687,3.095361695008549,0.19674706697476294,1.526359825987511,1.7885695135399466,53.95563987788907,1.5918224465651838,-4.756611124132126,0.20899384172412663,1.5632677284852792,1.6595869563807812,0.1930395910018312,1.4505931146566546,-0.34464665126123073,0.19669579237580453,1.5173619400664418,1.802282170886053,35.48511364336612,1.6055863785102484,-2.8027612460242963,8.881784197001252e-16,0.0,1.3909015433301772,1.3982390120258041,4,policy_pr_real_ankle_equivalent_ul
12,3,0.05999999999999999,0.5,0.0,0.0,0.04803137411351881,-0.015546676248416822,0.007015892239815561,0.657506449749839,-0.19092152198309995,-0.5095855452367558,-1.490112566947937,-15.854090452194214,-1.299191044964837,-1.8744960377100117,-0.02279767726683502,-0.7730096347051135,0.6,0.0,0.622797677266835,7.672138569753143,-0.20277220243941002,-0.6035411284665285,-1.5,-9.025685787200931,-1.29722779756059,-1.7552449977303013,0.005327071915335816,0.5842025124638371,-0.6,0.0,-0.6053270719153357,-6.249305758989335,0.18954801450874045,-0.057428166122600044,1.6611384920856194,0.15216854385791123,1.4715904775768789,5.372724332883231,0.22882500002154602,1.603896652339154,1.8187669026183395,1.5098694539196433,1.5899419025967936,-3.7602627294786948,0.21828008889901926,0.4643123587446313,1.6612176005791055,0.08153220991621302,1.4429375116800862,4.458235499730863,0.22826083798656904,1.5782522805382253,1.8197457537752013,0.8731791444574144,1.5914849157886324,-2.97491800984843,1.790180836524724e-15,9.155133597044475e-16,1.4042871064452545,1.415004881952391,7,policy_pr_real_ankle_equivalent_ul
16,4,0.08,0.5,0.0,0.0,0.07279339276661058,-0.011263368135559707,-0.0903404514634063,0.6584568099932735,-0.19790125626308416,-0.27796258778144045,-1.5,-0.49437165260315385,-1.3020987437369158,-4.892311705601351,-0.031028256186821014,-0.23119094246983218,0.6,0.0,0.631028256186821,4.849242675397002,-0.20561327843952473,0.08896153789155141,-1.5,0.0,-1.2943867215604752,-6.32246228143084,0.013572365980500182,0.30864296137328256,-0.6,0.0,-0.6135723659805001,-4.931124582540379,0.19081964428013437,0.06358148856969587,1.6612167712800578,0.0039139597219239874,1.4703971269999234,4.944791642157492,0.24396002567620093,0.7567512827327455,1.8197425700851544,0.048783373340743896,1.5757825444089535,-0.7994930602025102,0.21470970435208547,-0.1785192273466893,1.6612175692850872,-1.5647009132813139e-06,1.4465078649330017,5.580555183038488,0.23856071730043643,0.5149939656933694,1.819745732442496,-1.066635268998084e-06,1.5811850151420594,-0.2670160349933999,0.0,0.0,1.411486613831602,1.417998699225785,4,policy_pr_real_ankle_equivalent_ul
20,5,0.10000000000000002,0.5,0.0,0.0,0.09481281825811905,-0.0027017265596969127,-0.056317681328886635,0.6594702497138885,-0.20525209799682825,-0.4377957949284965,-1.5,0.0,-1.2947479020031718,-4.523828844371392,-0.03217752447511808,0.005812136252900557,0.6,0.0,0.6321775244751181,3.305252682987667,-0.2012849281980405,0.2257646869124308,-1.5,0.0,-1.2987150718019596,-7.6552592624677045,0.01724097631887016,0.12255717028148122,-0.6,0.0,-0.6172409763188701,-3.8764833778982783,0.19855792574625925,0.3869140733062437,1.6612175921955035,4.104577228103423e-05,1.4626596664492442,3.8560321024484536,0.2536843787664503,0.48621765451246773,1.8197447407611105,0.00010853379780462191,1.5660603619946603,-0.04910769161317835,0.2064730148238264,-0.41183447641295334,1.6612175691916624,-4.671241171649854e-09,1.454744554367836,5.519313726440203,0.23647174476196506,-0.10444862692356865,1.8197457323335942,-5.44508882427408e-09,1.583273987571629,0.9333430696072313,4.440892098500626e-16,8.881784197001252e-16,1.4186493144240209,1.4139755419343993,4,policy_pr_real_ankle_equivalent_ul
24,6,0.12000000000000004,0.5,0.0,0.0,0.11030183416700438,0.008257530562338801,-0.0079532587075258,0.6603076962592511,-0.2164001897613243,-0.6030217855244648,-1.5,0.0,-1.2835998102386756,-3.527800675332494,-0.030342690073494844,0.11635190271154264,0.6,0.0,0.6303426900734949,2.6205877914285933,-0.19833374095097836,0.11063592932186421,-1.5,0.0,-1.3016662590490216,-7.158401980719227,0.01838566002116172,0.028045274682689025,-0.6,0.0,-0.6183856600211617,-3.313574927518891,0.21341954885794984,0.7430811555845296,1.6612173864320172,-1.0288174312478304e-05,1.4477978375740674,3.0187225931846453,0.26554542601552794,0.593052362453883,1.8197452201377744,2.396883319599752e-05,1.5541997941222465,-0.07620734805447678,0.20201213078170288,-0.22304420210617626,1.6612175690587636,-6.644940153677226e-09,1.4592054382770607,4.982318322098301,0.23391994434708258,-0.12759002074412412,1.819745732281956,-2.5819124616077715e-09,1.5858257879348734,1.065179632522765,6.280369834735101e-16,4.440892098500626e-16,1.4293081708114015,1.4111868217403936,4,policy_pr_real_ankle_equivalent_ul
28,7,0.14000000000000004,0.5,0.0,0.0,0.12316198609608069,0.019821933734741688,0.015868879723987192,0.6606705182783037,-0.22923739221479775,-0.635960379789979,-1.5,0.0,-1.2707626077852023,-3.135042408736761,-0.027796542314775134,0.11985906334963539,0.6,0.0,0.6277965423147751,2.499349338629022,-0.1976806770704596,0.017863769503822815,-1.5,0.0,-1.3023193229295404,-6.60811630859457,0.018428955156107353,-0.007018818710252517,-0.6,0.0,-0.6184289551561073,-3.078574180505852,0.23105067832221465,0.8815564732132408,1.6612176995442403,1.5655611151910165e-05,1.4301670212220257,2.769487040434183,0.2789840161219891,0.6719295053230573,1.8197457127929613,2.4632759343390376e-05,1.5407616966709723,-0.18110215248073389,0.20120333242231067,-0.040439917969610495,1.6612175690587636,0.0,1.460014236636453,4.612577567253198,0.23318067924789337,-0.03696325495946007,1.819745732281956,0.0,1.5865650530340625,0.9729793448607151,4.440892098500626e-16,4.440892098500626e-16,1.4416242802943053,1.4105617027490915,4,policy_pr_real_ankle_equivalent_ul
32,8,0.16000000000000006,0.5,0.0,0.0,0.13917432419546819,0.030582593666692016,0.01768431247856862,0.6605071595686481,-0.2410468529445965,-0.5457829554475137,-1.5,0.0,-1.2589531470554034,-3.4158620658145997,-0.026027403538090903,0.07213610503933926,0.6,0.0,0.6260274035380908,2.720665826433026,-0.19830004321014108,-0.03107475802606014,-1.5,0.0,-1.3016999567898588,-6.322235151990815,0.018243916572683167,-0.006379470238579674,-0.6,0.0,-0.6182439165726832,-3.0439726518509294,0.24693021144661872,0.7939766562202035,1.6612174991885233,-1.0017785845306548e-05,1.4142872877419046,3.0008267358041967,0.29196519535920373,0.6490589618607323,1.8197457402504662,1.3728752468189498e-06,1.5277805448912625,-0.20779241035189905,0.20209187040208582,0.044426898988757235,1.6612175690587636,0.0,1.4591256986566778,4.470541170342034,0.23376141418534402,0.029036746872532215,1.819745732281956,0.0,1.585984318096612,0.8709561319760852,4.440892098500626e-16,9.930136612989092e-16,1.453052835617251,1.411149849198747,4,policy_pr_real_ankle_equivalent_ul
36,9,0.18000000000000008,0.5,0.0,0.0,0.16073354615479193,0.03855482316602115,0.023801298129704097,0.6599334333245975,-0.24980330874026438,-0.379313617122447,-1.5,0.0,-1.2501966912597355,-4.181839565490601,-0.02502108236695441,0.04022245991867798,0.6,0.0,0.6250210823669544,2.89653250337167,-0.19983335966023083,-0.08075709039961466,-1.5,0.0,-1.3001666403397691,-6.088784461559408,0.018315552153602494,0.011364226984552915,-0.6,0.0,-0.6183155521536025,-3.120063785153534,0.258537138439927,0.5803463496654129,1.6612174991885233,0.0,1.4026803607485965,3.402181670139512,0.3019353855906041,0.49850951157001944,1.8197457402504662,0.0,1.517810354659862,-0.00901508451150644,0.20384615100819767,0.0877140303055926,1.6612175690587636,0.0,1.457371418050566,4.414551189168138,0.23564351289981197,0.09410493572339779,1.819745732281956,0.0,1.584102219382144,0.7239286851340705,0.0,4.440892098500626e-16,1.4615942414181984,1.4126286301174529,4,policy_pr_real_ankle_equivalent_ul
