side,pitch,roll,j00_du_dp,j01_du_dr,j10_dl_dp,j11_dl_dr,diag_kp_upper,diag_kp_lower,diag_kd_upper,diag_kd_lower,equiv_kp_pitch,equiv_kp_roll,equiv_kp_cross
left,0.32527393102645874,-0.028913037851452827,-0.7629394531277754,0.8850097656276644,-0.7934570312451149,-0.8544921874964472,3.6177886291853265,3.6326562537495755,3.617788629185326,3.6326562537495755,4.392856285685445,5.486014057024535,0.020188276214164674
right,-0.18527941405773163,0.040716882795095444,-1.1901855468732236,-0.8544921874992227,-1.1901855468759992,0.8239746093777199,2.0929823866587096,2.1441441783200204,2.0929823866587096,2.1441441783200204,6.0020661962485145,2.9839382480299634,0.025846945536779818
left,-0.0792924240231514,-0.02887921780347824,-1.0681152343747224,0.8239746093749444,-1.0986328125003886,-0.8239746093756383,2.5647843152255745,2.4748585441697895,2.5647843152255745,2.4748585441697895,5.9132254304327185,3.421585675796273,-0.016911582044907607
right,-0.2893441617488861,0.08023735135793686,-1.2512207031217804,-0.8544921874964472,-1.281738281244671,0.8544921874964472,1.9103634576120374,1.8481341927095165,1.9103634576120374,1.8481341927095165,6.026988558603251,2.744292987349997,0.018339081402438697
left,0.003655293257907033,-0.0003400307323317975,-1.0070800781249514,0.8544921875000034,-1.0070800781249731,-0.8239746093749878,2.7759683880134975,2.859949829895068,2.7759683880134975,2.859949829895068,5.716006215011673,3.9686100950427754,-0.015627119772097613
right,0.4408145248889923,0.11991866677999496,-0.6713867187507772,-0.9155273437477794,-0.7019042968764432,0.7629394531222243,3.7397205509025424,4.485072133836759,3.7397205509025424,4.485072133836759,3.8953757895626344,5.74525313398199,-0.10309825964226194
left,-0.15734758973121643,0.02078006975352764,-1.1596679687475575,0.8544921874992227,-1.1291503906232792,-0.8544921874992227,2.229812510012796,2.3074882825381726,2.229812510012796,2.3074882825381726,5.940721112517681,3.3129414742379333,0.016798591294576514
right,0.22999995946884155,0.11000191420316696,-0.8544921875019983,-0.8850097656276644,-0.8544921874992227,0.7629394531249999,3.298805702850121,3.8045133194930267,3.298805702850121,3.8045133194930267,5.186537386405932,4.798282329735158,0.014408405018906115
left,-0.2078373283147812,-0.03558110073208809,-1.1901855468732236,0.8544921874992227,-1.2207031249988898,-0.8544921874964472,2.099127636595653,2.0295676184394265,2.099127636595653,2.0295676184394265,5.99779312009889,3.014595322246921,-0.017817734290200758
right,-0.20159900188446045,0.10581015795469284,-1.1901855468732236,-0.8544921874992227,-1.2207031249988898,0.8544921874964472,2.099127636595653,2.0295676184394265,2.099127636595653,2.0295676184394265,5.99779312009889,3.014595322246921,0.017817734290200758
left,0.44299983978271484,-0.057026125490665436,-0.6713867187507772,0.8850097656221133,-0.7324218749993338,-0.823974609370781,3.9050053795022306,3.9648522052545254,3.9050053795022306,3.9648522052545254,3.887133182870137,5.750438926500178,0.0724855781274473
right,-0.1734200119972229,0.06050847843289375,-1.1596679687489453,-0.8544921874992227,-1.159667968750333,0.8544921875019983,2.21526027178906,2.2152602717805587,2.21526027178906,2.2152602717805587,5.958296046508987,3.2349751388314596,-1.3331169596779331e-12
left,0.1039135605096817,-0.030253291130065918,-0.9765624999991117,0.8544921874992227,-0.9460449218741395,-0.8239746093742505,2.9162611701715684,3.1198817725859147,2.9162611701715684,3.1198817725859147,5.573460666183254,4.247522512098163,-0.0015170917094794497
right,-0.2257106751203537,0.04930547997355461,-1.2207031249988898,-0.8544921874992227,-1.1901855468759992,0.823974609370781,2.0097769472200255,2.129470329855238,2.0097769472200255,2.129470329855238,6.011284410265691,2.9132226454710635,0.008026066752492024
left,-0.15379776060581207,-0.026428725570440292,-1.1291503906232792,0.8544921874992227,-1.1596679687475575,-0.8544921874992227,2.307488282538171,2.2298125100127932,2.307488282538171,2.2298125100127932,5.940721112517675,3.3129414742379306,-0.016798591294577545
right,-0.23984111845493317,0.10266190767288208,-1.2207031250016653,-0.8544921875019983,-1.2207031249988898,0.8544921874964472,2.0158093573018627,2.015809357316627,2.0158093573018627,2.015809357316627,6.007580033869033,2.943714216589132,3.0402254123808044e-12
left,-0.1387796550989151,0.016576990485191345,-1.1291503906232792,0.8544921874992227,-1.1291503906232792,-0.8239746093749444,2.302084064524476,2.362434218740895,2.302084064524476,2.362434218740895,5.947170341173959,3.2848198451528194,-0.023178110200124374
right,0.4429999887943268,0.10842529684305191,-0.6713867187507772,-0.9155273437477794,-0.7019042968819943,0.7629394531277754,3.7397205509029723,4.485072133769409,3.7397205509029723,4.485072133769409,3.895375789564597,5.745253133981138,-0.10309825964240145
left,-0.19381360709667206,0.01975250616669655,-1.1901855468732236,0.8544921874992227,-1.1901855468732236,-0.8544921874992227,2.1131257812899964,2.113125781289996,2.1131257812899964,2.113125781289996,5.986661302545089,3.085826733202381,-4.548980169671571e-16
right,0.12766341865062714,0.09210126101970673,-0.915527343750555,-0.8544921875019983,-0.9460449218744864,0.762939453124306,3.126151057999097,3.319318021243753,3.126151057999097,3.3193180212437534,5.591102475872619,4.214678139198877,0.04982149439566068
left,0.016242515295743942,-0.002994050271809101,-1.007080078124778,0.8239746093749444,-1.0070800781249514,-0.8544921875000902,2.859949829895972,2.775968388013377,2.859949829895972,2.775968388013377,5.716006215011343,3.9686100950435073,0.01562711977207144
right,0.10177525132894516,-0.05511320382356644,-0.9460449218748334,-0.8239746093749444,-0.9765625000018873,0.8544921875019983,3.1198817725812544,2.9162611701541583,3.1198817725812544,2.9162611701541583,5.573460666182386,4.247522512099688,-0.0015170917095733956
left,0.004888157360255718,0.027506060898303986,-1.007080078124778,0.8544921874999166,-1.0070800781251248,-0.8239746093752913,2.775968388014425,2.859949829893847,2.775968388014425,2.859949829893847,5.716006215011279,3.9686100950436414,-0.015627119772022982
right,-0.1335286796092987,-0.082380510866642,-1.1291503906260547,-0.8239746093777199,-1.129150390623973,0.8544921874992227,2.3624342187279534,2.302084064522841,2.3624342187279534,2.302084064522841,5.9471703411737895,3.284819845153645,-0.023178110199146288
left,-0.05363819748163223,0.020418135449290276,-1.0681152343740286,0.8239746093742505,-1.0986328125003886,-0.8544921874992227,2.585930082702503,2.429282394996509,2.585930082702503,2.429282394996509,5.882339864245156,3.529433559589547,0.004668464889470347
right,-0.2940601408481598,-0.07660973817110062,-1.312255859370337,-0.8544921874964472,-1.281738281244671,0.8544921874964472,1.7643262692883617,1.8231833073156196,1.7643262692883617,1.8231833073156196,6.033419283078059,2.6194448657651734,-0.01845391576973059
left,-0.03290987014770508,0.05099545046687126,-1.0375976562490563,0.8239746093742505,-1.0681152343749825,-0.8544921875000902,2.7131737593265752,2.5457105705928202,2.7131737593265752,2.5457105705928202,5.825352216839714,3.7008344734931993,0.003821075078026074
right,-0.12297116219997406,-0.05846817046403885,-1.1291503906232792,-0.8239746093749444,-1.0986328124990008,0.8544921874992227,2.378157619708799,2.3987378298788347,2.378157619708799,2.3987378298788347,5.927367144160659,3.366067412671694,-0.039253635730741296
left,-0.22713761031627655,0.10624141246080399,-1.2207031249988898,0.8544921874964472,-1.1901855468759992,-0.8544921875019983,2.029567618439921,2.0991276365850657,2.029567618439921,2.0991276365850657,5.997793120098499,3.0145953222495088,0.01781773429083006
